arm,system,gamma,client,model,bank,carrier_half,probe_index_within_bank,top_routed_class,top1_top2_margin,retained_across_carrier_halves
h0,hfl,0,0,ResNet10,bank_b,ub,55,4,0.15310685111566255,True
h0,hfl,0,0,ResNet10,bank_b,ub,56,4,0.039644705745811706,False
h0,hfl,0,0,ResNet10,bank_b,ub,57,4,0.012386248541416643,False
h0,hfl,0,0,ResNet10,bank_b,ub,58,4,0.10912389582598776,True
h0,hfl,0,0,ResNet10,bank_b,ub,59,0,0.10826155058715298,True
h0,hfl,0,0,ResNet10,bank_b,ub,60,4,0.089882261969949,True
h0,hfl,0,0,ResNet10,bank_b,ub,61,5,0.00470549996627477,False
h0,hfl,0,0,ResNet10,bank_b,ub,62,4,0.08360639806420335,True
h0,hfl,0,0,ResNet10,bank_b,ub,63,4,0.03694569586943311,True
h0,hfl,0,1,ResNet12,bank_a,ua,0,3,0.002186253786578274,False
h0,hfl,0,1,ResNet12,bank_a,ua,1,4,0.02067944877080584,True
h0,hfl,0,1,ResNet12,bank_a,ua,2,0,0.14636276948460955,True
h0,hfl,0,1,ResNet12,bank_a,ua,3,3,0.11072008574434536,True
h0,hfl,0,1,ResNet12,bank_a,ua,4,3,0.09131319395233324,True
h0,hfl,0,1,ResNet12,bank_a,ua,5,0,0.019588894484355357,True
h0,hfl,0,1,ResNet12,bank_a,ua,6,4,0.023624571786523343,True
h0,hfl,0,1,ResNet12,bank_a,ua,7,8,0.050200994178442135,True
h0,hfl,0,1,ResNet12,bank_a,ua,8,8,0.07903343648822057,True
h0,hfl,0,1,ResNet12,bank_a,ua,9,3,0.027727466591378078,True
h0,hfl,0,1,ResNet12,bank_a,ua,10,7,0.022730759185530025,True
h0,hfl,0,1,ResNet12,bank_a,ua,11,4,0.010313906815851495,True
h0,hfl,0,1,ResNet12,bank_a,ua,12,8,0.04832344948266641,True
h0,hfl,0,1,ResNet12,bank_a,ua,13,8,0.009258177079955077,True
h0,hfl,0,1,ResNet12,bank_a,ua,14,5,0.01908833952257348,True
h0,hfl,0,1,ResNet12,bank_a,ua,15,3,0.003645217002070149,True
h0,hfl,0,1,ResNet12,bank_a,ua,16,0,0.026976263893922534,True
h0,hfl,0,1,ResNet12,bank_a,ua,17,2,0.03155892147200251,True
h0,hfl,0,1,ResNet12,bank_a,ua,18,1,0.027232241798168244,False
h0,hfl,0,1,ResNet12,bank_a,ua,19,3,0.016994611780949784,True
h0,hfl,0,1,ResNet12,bank_a,ua,20,0,0.03967402023657894,True
h0,hfl,0,1,ResNet12,bank_a,ua,21,2,0.03014933088581912,True
h0,hfl,0,1,ResNet12,bank_a,ua,22,5,0.008630230207157238,False
h0,hfl,0,1,ResNet12,bank_a,ua,23,3,0.02311740760036146,False
h0,hfl,0,1,ResNet12,bank_a,ua,24,8,0.024223124331712823,True
h0,hfl,0,1,ResNet12,bank_a,ua,25,7,0.0008777468260602467,False
h0,hfl,0,1,ResNet12,bank_a,ua,26,2,0.13737346347236587,True
h0,hfl,0,1,ResNet12,bank_a,ua,27,3,0.11933521306752062,True
h0,hfl,0,1,ResNet12,bank_a,ua,28,0,0.05672201759505359,True
h0,hfl,0,1,ResNet12,bank_a,ua,29,3,0.1196842170551681,True
h0,hfl,0,1,ResNet12,bank_a,ua,30,3,0.051300669156035775,True
h0,hfl,0,1,ResNet12,bank_a,ua,31,3,0.0005516613388959757,False
h0,hfl,0,1,ResNet12,bank_a,ua,32,2,0.03129821487610582,False
h0,hfl,0,1,ResNet12,bank_a,ua,33,3,0.04817796582141398,True
h0,hfl,0,1,ResNet12,bank_a,ua,34,0,0.09886363585225832,True
h0,hfl,0,1,ResNet12,bank_a,ua,35,3,0.057418596732362076,True
h0,hfl,0,1,ResNet12,bank_a,ua,36,5,0.007226250861768785,True
h0,hfl,0,1,ResNet12,bank_a,ua,37,0,0.012117066326437775,True
h0,hfl,0,1,ResNet12,bank_a,ua,38,5,0.011185121984807395,True
h0,hfl,0,1,ResNet12,bank_a,ua,39,4,0.01809934914770421,True
h0,hfl,0,1,ResNet12,bank_a,ua,40,0,0.0003164330371801527,False
h0,hfl,0,1,ResNet12,bank_a,ua,41,4,0.03411608084245461,True
h0,hfl,0,1,ResNet12,bank_a,ua,42,2,0.07889505079926294,True
h0,hfl,0,1,ResNet12,bank_a,ua,43,4,0.06038007556395367,True
