arm,system,gamma,client,model,bank,carrier_half,class_index,positive_routing_energy,total_routing_norm_sq,positive_profile_share,total_profile_share,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,probe_top_class_count,probe_top_class_fraction,mean_margin_when_top
l0,local,0,3,Mobilenetv2,bank_b,ua,9,0.0015813186197756505,0.005345096860262265,0.032788324778375066,0.05775903383508438,0.9944330559883648,0.9415882832637124,3,0.046875,0.04684750154430537
l0,local,0,3,Mobilenetv2,bank_b,ub,0,0.005359005350261233,0.01581402049699848,0.11113560306070869,0.16724756675406394,0.9944330559883648,0.9445176055489282,8,0.125,0.06094519723830159
l0,local,0,3,Mobilenetv2,bank_b,ub,1,0.00044781907528507024,0.007412056627424611,0.009286917952315375,0.07838920126702671,0.9944330559883648,0.9445176055489282,1,0.015625,0.024775757100330406
l0,local,0,3,Mobilenetv2,bank_b,ub,2,0.00010693806303721401,0.005839690225903301,0.0022176925285595254,0.061760004741690515,0.9944330559883648,0.9445176055489282,0,0.0,0.0
l0,local,0,3,Mobilenetv2,bank_b,ub,3,0.005824637507772017,0.005963096333225215,0.12079193054075071,0.06306513591792103,0.9944330559883648,0.9445176055489282,2,0.03125,0.017151558917452063
l0,local,0,3,Mobilenetv2,bank_b,ub,4,0.01127930595971232,0.011389543151484487,0.23391140482398823,0.12045471794397515,0.9944330559883648,0.9445176055489282,17,0.265625,0.034106175905213386
l0,local,0,3,Mobilenetv2,bank_b,ub,5,0.0014571844035265887,0.0069766548268147995,0.030219239741698007,0.07378443350881177,0.9944330559883648,0.9445176055489282,2,0.03125,0.06856691863087308
l0,local,0,3,Mobilenetv2,bank_b,ub,6,0.01227314863279348,0.013185889324397678,0.25452181619724007,0.1394527030879004,0.9944330559883648,0.9445176055489282,16,0.25,0.05792479090602401
l0,local,0,3,Mobilenetv2,bank_b,ub,7,0.008483989285997431,0.008842884802347137,0.17594184070257626,0.09352150305861544,0.9944330559883648,0.9445176055489282,16,0.25,0.024226784987428474
l0,local,0,3,Mobilenetv2,bank_b,ub,8,0.0014778737283401688,0.012159063445644994,0.030648297083460882,0.128593090901734,0.9944330559883648,0.9445176055489282,0,0.0,0.0
l0,local,0,3,Mobilenetv2,bank_b,ub,9,0.001510517035970444,0.006971663225167783,0.03132525734796407,0.07373164280768503,0.9944330559883648,0.9445176055489282,2,0.03125,0.07042773256438013
l9,local,9,0,ResNet10,bank_a,ua,0,0.07097795650220849,0.07140066653808488,0.34535388907710174,0.21437574146082844,0.9995850089513605,0.996968745769541,14,0.21875,0.0548914055226263
l9,local,9,0,ResNet10,bank_a,ua,1,0.0032245777995498917,0.01658867222396939,0.01568966674423189,0.049806382493183275,0.9995850089513605,0.996968745769541,2,0.03125,0.0006011840632447196
l9,local,9,0,ResNet10,bank_a,ua,2,0.005934648980991258,0.009414707022643961,0.02887592439814772,0.028267030217977322,0.9995850089513605,0.996968745769541,2,0.03125,0.01239533163495013
l9,local,9,0,ResNet10,bank_a,ua,3,0.00029547403567629487,0.012301163883597928,0.0014376732209660003,0.03693342452161654,0.9995850089513605,0.996968745769541,0,0.0,0.0
l9,local,9,0,ResNet10,bank_a,ua,4,0.09966573532058863,0.10038167595007334,0.48493857807280444,0.30138929024421934,0.9995850089513605,0.996968745769541,32,0.5,0.09746516840101019
l9,local,9,0,ResNet10,bank_a,ua,5,0.00514719990001143,0.05667804080683492,0.025044472832504078,0.1701720391648073,0.9995850089513605,0.996968745769541,4,0.0625,0.19534001639746668
l9,local,9,0,ResNet10,bank_a,ua,6,0.011233546534395192,0.016446922951823043,0.054658504907242084,0.04938078975306933,0.9995850089513605,0.996968745769541,5,0.078125,0.08678234734346123
l9,local,9,0,ResNet10,bank_a,ua,7,0.002455684865685532,0.018456071709534373,0.011948502894499233,0.05541312496116893,0.9995850089513605,0.996968745769541,3,0.046875,0.07948128800949573
l9,local,9,0,ResNet10,bank_a,ua,8,0.0032460071620665377,0.014926338348659073,0.01579393452045811,0.04481533584959182,0.9995850089513605,0.996968745769541,0,0.0,0.0
