arm,client,model,bound_class,binding_family,output_class,mean_centered_logit_response
h0,2,ShuffleNet,9,3,4,0.06484181053600338
h0,2,ShuffleNet,9,3,5,0.12728602258493227
h0,2,ShuffleNet,9,3,6,0.11278486345620371
h0,2,ShuffleNet,9,3,7,0.05079853647427759
h0,2,ShuffleNet,9,3,8,-0.09312562536625912
h0,2,ShuffleNet,9,3,9,-0.006774235235595633
h0,3,Mobilenetv2,0,3,0,-0.08903724041805852
h0,3,Mobilenetv2,0,3,1,-0.1453307284240549
h0,3,Mobilenetv2,0,3,2,0.057025873661552554
h0,3,Mobilenetv2,0,3,3,0.04669918018863213
h0,3,Mobilenetv2,0,3,4,0.14463341736830845
h0,3,Mobilenetv2,0,3,5,-0.07824934778842614
h0,3,Mobilenetv2,0,3,6,0.0531688616537946
h0,3,Mobilenetv2,0,3,7,0.035557398884948396
h0,3,Mobilenetv2,0,3,8,0.007617571042015919
h0,3,Mobilenetv2,0,3,9,-0.032084986168711145
h0,3,Mobilenetv2,1,0,0,-0.20330552749974795
h0,3,Mobilenetv2,1,0,1,-0.05259143565965881
h0,3,Mobilenetv2,1,0,2,-0.10348893990165774
h0,3,Mobilenetv2,1,0,3,0.08088142074843721
h0,3,Mobilenetv2,1,0,4,0.17332224424935508
h0,3,Mobilenetv2,1,0,5,-0.023602329245094
h0,3,Mobilenetv2,1,0,6,0.22313205997126098
h0,3,Mobilenetv2,1,0,7,0.045055861754252836
h0,3,Mobilenetv2,1,0,8,-0.20313862925100654
h0,3,Mobilenetv2,1,0,9,0.06373527483385918
h0,3,Mobilenetv2,2,1,0,-0.0413589884186983
h0,3,Mobilenetv2,2,1,1,-0.16926500390028365
h0,3,Mobilenetv2,2,1,2,0.06043732168017069
h0,3,Mobilenetv2,2,1,3,0.05768208719109303
h0,3,Mobilenetv2,2,1,4,0.09755439282670907
h0,3,Mobilenetv2,2,1,5,0.04155343517446298
h0,3,Mobilenetv2,2,1,6,0.03909459296662663
h0,3,Mobilenetv2,2,1,7,0.02164568267003607
h0,3,Mobilenetv2,2,1,8,-0.039895828021674615
h0,3,Mobilenetv2,2,1,9,-0.06744769216844165
h0,3,Mobilenetv2,3,2,0,0.0024535809260477653
h0,3,Mobilenetv2,3,2,1,-0.1437802557861695
h0,3,Mobilenetv2,3,2,2,0.02762399184817685
h0,3,Mobilenetv2,3,2,3,0.03547179399447302
h0,3,Mobilenetv2,3,2,4,0.05540045181313417
h0,3,Mobilenetv2,3,2,5,-0.022367344757226397
h0,3,Mobilenetv2,3,2,6,0.052820637468591114
h0,3,Mobilenetv2,3,2,7,-0.0017406034507471489
h0,3,Mobilenetv2,3,2,8,0.03933720133747056
h0,3,Mobilenetv2,3,2,9,-0.04521945339375047
h0,3,Mobilenetv2,4,3,0,-0.08903724041805852
h0,3,Mobilenetv2,4,3,1,-0.1453307284240549
h0,3,Mobilenetv2,4,3,2,0.057025873661552554
h0,3,Mobilenetv2,4,3,3,0.04669918018863213
h0,3,Mobilenetv2,4,3,4,0.14463341736830845
h0,3,Mobilenetv2,4,3,5,-0.07824934778842614
h0,3,Mobilenetv2,4,3,6,0.0531688616537946
h0,3,Mobilenetv2,4,3,7,0.035557398884948396
h0,3,Mobilenetv2,4,3,8,0.007617571042015919
h0,3,Mobilenetv2,4,3,9,-0.032084986168711145
h0,3,Mobilenetv2,5,0,0,-0.20330552749974795
h0,3,Mobilenetv2,5,0,1,-0.05259143565965881
h0,3,Mobilenetv2,5,0,2,-0.10348893990165774
h0,3,Mobilenetv2,5,0,3,0.08088142074843721
h0,3,Mobilenetv2,5,0,4,0.17332224424935508
h0,3,Mobilenetv2,5,0,5,-0.023602329245094
h0,3,Mobilenetv2,5,0,6,0.22313205997126098
h0,3,Mobilenetv2,5,0,7,0.045055861754252836
h0,3,Mobilenetv2,5,0,8,-0.20313862925100654
h0,3,Mobilenetv2,5,0,9,0.06373527483385918
h0,3,Mobilenetv2,6,1,0,-0.0413589884186983
h0,3,Mobilenetv2,6,1,1,-0.16926500390028365
h0,3,Mobilenetv2,6,1,2,0.06043732168017069
h0,3,Mobilenetv2,6,1,3,0.05768208719109303
h0,3,Mobilenetv2,6,1,4,0.09755439282670907
h0,3,Mobilenetv2,6,1,5,0.04155343517446298
h0,3,Mobilenetv2,6,1,6,0.03909459296662663
h0,3,Mobilenetv2,6,1,7,0.02164568267003607
h0,3,Mobilenetv2,6,1,8,-0.039895828021674615
h0,3,Mobilenetv2,6,1,9,-0.06744769216844165
h0,3,Mobilenetv2,7,2,0,0.0024535809260477653
h0,3,Mobilenetv2,7,2,1,-0.1437802557861695
h0,3,Mobilenetv2,7,2,2,0.02762399184817685
h0,3,Mobilenetv2,7,2,3,0.03547179399447302
h0,3,Mobilenetv2,7,2,4,0.05540045181313417
h0,3,Mobilenetv2,7,2,5,-0.022367344757226397
h0,3,Mobilenetv2,7,2,6,0.052820637468591114
h0,3,Mobilenetv2,7,2,7,-0.0017406034507471489
h0,3,Mobilenetv2,7,2,8,0.03933720133747056
h0,3,Mobilenetv2,7,2,9,-0.04521945339375047
h0,3,Mobilenetv2,8,3,0,-0.08903724041805852
h0,3,Mobilenetv2,8,3,1,-0.1453307284240549
h0,3,Mobilenetv2,8,3,2,0.057025873661552554
h0,3,Mobilenetv2,8,3,3,0.04669918018863213
h0,3,Mobilenetv2,8,3,4,0.14463341736830845
h0,3,Mobilenetv2,8,3,5,-0.07824934778842614
h0,3,Mobilenetv2,8,3,6,0.0531688616537946
h0,3,Mobilenetv2,8,3,7,0.035557398884948396
h0,3,Mobilenetv2,8,3,8,0.007617571042015919
h0,3,Mobilenetv2,8,3,9,-0.032084986168711145
h0,3,Mobilenetv2,9,0,0,-0.20330552749974795
h0,3,Mobilenetv2,9,0,1,-0.05259143565965881
h0,3,Mobilenetv2,9,0,2,-0.10348893990165774
h0,3,Mobilenetv2,9,0,3,0.08088142074843721
h0,3,Mobilenetv2,9,0,4,0.17332224424935508
h0,3,Mobilenetv2,9,0,5,-0.023602329245094
h0,3,Mobilenetv2,9,0,6,0.22313205997126098
h0,3,Mobilenetv2,9,0,7,0.045055861754252836
h0,3,Mobilenetv2,9,0,8,-0.20313862925100654
h0,3,Mobilenetv2,9,0,9,0.06373527483385918
h9,0,ResNet10,0,0,0,3.542353622308112
h9,0,ResNet10,0,0,1,0.19526892149927086
h9,0,ResNet10,0,0,2,-0.4545332985695049
h9,0,ResNet10,0,0,3,-1.5886743666548009
h9,0,ResNet10,0,0,4,2.75630000267176
h9,0,ResNet10,0,0,5,-2.450067856119561
h9,0,ResNet10,0,0,6,-0.753625590219281
h9,0,ResNet10,0,0,7,-1.809517791232475
h9,0,ResNet10,0,0,8,0.31570990297081286
h9,0,ResNet10,0,0,9,0.24678645334566912
h9,0,ResNet10,1,1,0,-0.12880105746655268
h9,0,ResNet10,1,1,1,-0.0357541171443006
h9,0,ResNet10,1,1,2,-0.2880771590106292
h9,0,ResNet10,1,1,3,0.10484500526801412
h9,0,ResNet10,1,1,4,0.08820443017514462
h9,0,ResNet10,1,1,5,0.8221840889749434
h9,0,ResNet10,1,1,6,-0.4466155260102403
h9,0,ResNet10,1,1,7,-0.05975300828302615
h9,0,ResNet10,1,1,8,-0.03412001247209879
h9,0,ResNet10,1,1,9,-0.022112644031253036
h9,0,ResNet10,2,2,0,0.6543254134679344
h9,0,ResNet10,2,2,1,0.41449234978300664
h9,0,ResNet10,2,2,2,0.3336192145816851
h9,0,ResNet10,2,2,3,-0.5468142582885068
h9,0,ResNet10,2,2,4,0.22426506868297463
h9,0,ResNet10,2,2,5,-1.3191591441510289
h9,0,ResNet10,2,2,6,0.4266071275061739
h9,0,ResNet10,2,2,7,-1.0149588782560734
h9,0,ResNet10,2,2,8,0.4234017765451579
h9,0,ResNet10,2,2,9,0.40422133012867123
h9,0,ResNet10,3,3,0,-0.20821986715492463
h9,0,ResNet10,3,3,1,0.8668993074709687
h9,0,ResNet10,3,3,2,-0.8917935615333018
h9,0,ResNet10,3,3,3,0.033927858810178034
h9,0,ResNet10,3,3,4,-0.3572200987759376
h9,0,ResNet10,3,3,5,-1.178799383966266
h9,0,ResNet10,3,3,6,-0.4931989968150289
h9,0,ResNet10,3,3,7,0.47182436319155213
h9,0,ResNet10,3,3,8,0.8687984354995385
h9,0,ResNet10,3,3,9,0.8877819432732212
h9,0,ResNet10,4,0,0,3.542353622308112
h9,0,ResNet10,4,0,1,0.19526892149927086
h9,0,ResNet10,4,0,2,-0.4545332985695049
h9,0,ResNet10,4,0,3,-1.5886743666548009
h9,0,ResNet10,4,0,4,2.75630000267176
h9,0,ResNet10,4,0,5,-2.450067856119561
h9,0,ResNet10,4,0,6,-0.753625590219281
h9,0,ResNet10,4,0,7,-1.809517791232475
h9,0,ResNet10,4,0,8,0.31570990297081286
h9,0,ResNet10,4,0,9,0.24678645334566912
h9,0,ResNet10,5,1,0,-0.12880105746655268
h9,0,ResNet10,5,1,1,-0.0357541171443006
h9,0,ResNet10,5,1,2,-0.2880771590106292
h9,0,ResNet10,5,1,3,0.10484500526801412
h9,0,ResNet10,5,1,4,0.08820443017514462
h9,0,ResNet10,5,1,5,0.8221840889749434
h9,0,ResNet10,5,1,6,-0.4466155260102403
h9,0,ResNet10,5,1,7,-0.05975300828302615
h9,0,ResNet10,5,1,8,-0.03412001247209879
h9,0,ResNet10,5,1,9,-0.022112644031253036
h9,0,ResNet10,6,2,0,0.6543254134679344
h9,0,ResNet10,6,2,1,0.41449234978300664
h9,0,ResNet10,6,2,2,0.3336192145816851
h9,0,ResNet10,6,2,3,-0.5468142582885068
h9,0,ResNet10,6,2,4,0.22426506868297463
h9,0,ResNet10,6,2,5,-1.3191591441510289
h9,0,ResNet10,6,2,6,0.4266071275061739
h9,0,ResNet10,6,2,7,-1.0149588782560734
h9,0,ResNet10,6,2,8,0.4234017765451579
h9,0,ResNet10,6,2,9,0.40422133012867123
h9,0,ResNet10,7,3,0,-0.20821986715492463
h9,0,ResNet10,7,3,1,0.8668993074709687
h9,0,ResNet10,7,3,2,-0.8917935615333018
h9,0,ResNet10,7,3,3,0.033927858810178034
h9,0,ResNet10,7,3,4,-0.3572200987759376
h9,0,ResNet10,7,3,5,-1.178799383966266
h9,0,ResNet10,7,3,6,-0.4931989968150289
h9,0,ResNet10,7,3,7,0.47182436319155213
h9,0,ResNet10,7,3,8,0.8687984354995385
h9,0,ResNet10,7,3,9,0.8877819432732212
h9,0,ResNet10,8,0,0,3.542353622308112
h9,0,ResNet10,8,0,1,0.19526892149927086
h9,0,ResNet10,8,0,2,-0.4545332985695049
h9,0,ResNet10,8,0,3,-1.5886743666548009
h9,0,ResNet10,8,0,4,2.75630000267176
h9,0,ResNet10,8,0,5,-2.450067856119561
h9,0,ResNet10,8,0,6,-0.753625590219281
h9,0,ResNet10,8,0,7,-1.809517791232475
h9,0,ResNet10,8,0,8,0.31570990297081286
h9,0,ResNet10,8,0,9,0.24678645334566912
h9,0,ResNet10,9,1,0,-0.12880105746655268
h9,0,ResNet10,9,1,1,-0.0357541171443006
h9,0,ResNet10,9,1,2,-0.2880771590106292
h9,0,ResNet10,9,1,3,0.10484500526801412
h9,0,ResNet10,9,1,4,0.08820443017514462
h9,0,ResNet10,9,1,5,0.8221840889749434
h9,0,ResNet10,9,1,6,-0.4466155260102403
h9,0,ResNet10,9,1,7,-0.05975300828302615
h9,0,ResNet10,9,1,8,-0.03412001247209879
h9,0,ResNet10,9,1,9,-0.022112644031253036
h9,1,ResNet12,0,1,0,0.8153828078916886
h9,1,ResNet12,0,1,1,-0.6737444796363244
h9,1,ResNet12,0,1,2,-0.470164295571418
h9,1,ResNet12,0,1,3,-0.3170127813591681
h9,1,ResNet12,0,1,4,0.6733735147445886
