arm,client,model,class,binding_family,generic_strength,harmful_positive_strength,harmful_diagonal_signed,valid_instance_support,generic_rank,harmful_rank,target_maps_new_class_from_old_class
l0,2,ShuffleNet,8,2,0.009222738154556084,0.1347085185253017,-0.04085742874683391,2800,1,6,1
l0,2,ShuffleNet,9,3,0.00019445425825156878,0.10606482647514079,-0.13166212075144093,2800,9,9,4
l0,3,Mobilenetv2,0,3,0.010509509440883615,0.14823960852479062,-0.10263142204100935,2800,0,8,1
l0,3,Mobilenetv2,1,0,0.0003130741869984179,0.13543258605161937,-0.12606083890916361,2800,9,9,0
l0,3,Mobilenetv2,2,1,0.0004058161171683572,0.14930594853553086,0.014746938539267857,3200,8,6,4
l0,3,Mobilenetv2,3,2,0.003790418062965642,0.18282228657285132,0.11647792505972741,3200,5,2,8
l0,3,Mobilenetv2,4,3,0.009103462022278023,0.3158694335140722,0.24669195553071988,2800,1,1,2
l0,3,Mobilenetv2,5,0,0.0012046618182277602,0.14963596625468106,-0.03223498690197113,2800,6,5,7
l0,3,Mobilenetv2,6,1,0.0071530555722790915,0.14877600211625694,-0.016652701348821502,3200,2,7,9
l0,3,Mobilenetv2,7,2,0.006440527123568574,0.3667926705891359,0.3028452696481806,3200,3,0,5
l0,3,Mobilenetv2,8,3,0.004321248709705493,0.1728020279824373,-0.09957019166501593,2800,4,3,3
l0,3,Mobilenetv2,9,0,0.0007333231193357821,0.15956977340072528,-0.042108513859396415,2800,7,4,6
l9,0,ResNet10,0,0,0.07097795650220849,3.5426780754619362,3.542353622308112,2800,1,0,7
l9,0,ResNet10,1,1,0.0032245777995498917,0.41633390257542485,-0.0357541171443006,2800,7,7,6
l9,0,ResNet10,2,2,0.005934648980991258,0.40728190305046647,0.3336192145816851,3200,3,8,8
l9,0,ResNet10,3,3,0.00029547403567629487,0.21504771190411595,0.033927858810178034,3200,9,9,4
l9,0,ResNet10,4,0,0.09966573532058863,2.790629219300286,2.75630000267176,2800,0,1,3
l9,0,ResNet10,5,1,0.00514719990001143,0.9437498590684182,0.8221840889749434,2800,4,3,9
l9,0,ResNet10,6,2,0.011233546534395192,0.5122933151616181,0.4266071275061739,3200,2,5,1
l9,0,ResNet10,7,3,0.002455684865685532,0.6534056303892325,0.47182436319155213,3200,8,4,0
l9,0,ResNet10,8,0,0.0032460071620665377,0.945745741808491,0.31570990297081286,2800,6,2,2
l9,0,ResNet10,9,1,0.003341558386141858,0.428440303540662,-0.022112644031253036,2800,5,6,5
l9,1,ResNet12,0,1,0.002809804695381913,0.8909292932765038,0.8570062692319048,2800,6,5,9
l9,1,ResNet12,1,2,0.004172724217069285,0.49360291288441593,0.44449129850739266,2800,4,9,4
l9,1,ResNet12,2,3,0.001264588147174714,1.360977498045741,1.3014413677058507,3200,9,2,3
l9,1,ResNet12,3,0,0.16639479743718252,2.8092159871321916,2.8091356687307227,3200,0,0,2
l9,1,ResNet12,4,1,0.0031444241653101296,0.9348441774313614,0.9166069883753736,2800,5,4,1
l9,1,ResNet12,5,2,0.009871177904321134,0.6453051556268253,0.6281084770109042,2800,2,8,6
l9,1,ResNet12,6,3,0.0016113112410723073,1.0387813205992056,0.9658753573193679,3200,7,3,5
l9,1,ResNet12,7,0,0.024672772865903896,2.0042302828945275,2.003430899741258,3200,1,1,8
l9,1,ResNet12,8,1,0.0013282101171231933,0.7944312986602631,0.7441580069767222,2800,8,7,7
l9,1,ResNet12,9,2,0.005976941101295127,0.812459806947765,0.6501787444891054,2800,3,6,0
l9,2,ShuffleNet,0,2,0.005453620477151372,0.36421166139338995,0.280251677112558,2800,4,9,3
