client,model,operator,family,split,bound_classes,fit_support,pew_family_accuracy,pew_unknown_rate,base_grid_acc,plugin_grid_acc,grid_acc_delta,base_dsa,plugin_dsa,dsa_reduction
2,ShuffleNet,contrast,digital,seen,4,68,47.05882352941176,10.294117647058822,23.599999999999998,16.1,-7.4999999999999964,0.010374156350877644,-0.0024007245201972272,0.01277488087107487
2,ShuffleNet,elastic_transform,digital,seen,9,1635,0.42813455657492355,0.672782874617737,26.700000000000003,16.8,-9.900000000000002,0.0795246680252363,-0.00013366616069144537,0.07965833418592776
2,ShuffleNet,pixelate,digital,unseen,,0,nan,nan,24.8,16.6,-8.2,nan,nan,nan
2,ShuffleNet,jpeg_compression,digital,seen,2,111,3.6036036036036037,0.9009009009009009,25.2,16.900000000000002,-8.299999999999997,0.001921398484819157,0.014238545499217237,-0.01231714701439808
3,Mobilenetv2,gaussian_noise,noise,seen,9,1655,97.76435045317221,1.6918429003021147,20.9,22.7,1.8000000000000007,0.2633282818505171,0.029716332085644972,0.23361194976487212
3,Mobilenetv2,shot_noise,noise,seen,7,72,95.83333333333334,4.166666666666666,16.400000000000002,21.7,5.299999999999997,0.0011820833842567584,0.021705859114327247,-0.020523775730070488
3,Mobilenetv2,impulse_noise,noise,unseen,,0,nan,nan,13.900000000000002,17.2,3.299999999999997,nan,nan,nan
3,Mobilenetv2,defocus_blur,blur,seen,5,2152,86.2453531598513,1.6263940520446096,25.7,21.099999999999998,-4.600000000000001,0.13068798877364893,0.009081047538497913,0.12160694123515102
3,Mobilenetv2,glass_blur,blur,seen,6,706,66.28895184135978,1.13314447592068,25.8,21.8,-4.0,0.011415625811223726,0.026325077582150698,-0.014909451770926972
3,Mobilenetv2,motion_blur,blur,seen,2,457,89.93435448577681,1.5317286652078774,23.1,18.9,-4.200000000000003,0.013659846961589728,0.03520640455585505,-0.021546557594265325
3,Mobilenetv2,zoom_blur,blur,unseen,,0,nan,nan,26.700000000000003,22.8,-3.900000000000002,nan,nan,nan
3,Mobilenetv2,snow,weather,seen,1,1605,72.89719626168224,1.61993769470405,13.200000000000001,15.7,2.4999999999999982,0.5408059187308887,0.20692412189342868,0.33388179683746
3,Mobilenetv2,frost,weather,seen,0,1033,76.28267182962246,5.324298160696999,23.0,25.3,2.3000000000000007,0.15843935539661388,0.023173766663974325,0.13526558873263955
3,Mobilenetv2,fog,weather,unseen,,0,nan,nan,24.0,23.799999999999997,-0.20000000000000284,nan,nan,nan
3,Mobilenetv2,brightness,digital,seen,4,387,24.8062015503876,0.7751937984496124,25.900000000000002,19.7,-6.200000000000003,0.03007519048799406,0.037955924188884514,-0.007880733700890454
3,Mobilenetv2,contrast,digital,seen,,79,37.9746835443038,7.59493670886076,21.2,17.5,-3.6999999999999993,nan,nan,nan
3,Mobilenetv2,elastic_transform,digital,seen,3,165,4.242424242424243,1.8181818181818181,27.0,22.400000000000002,-4.599999999999998,0.0011891719874966794,0.011586023773697746,-0.010396851786201066
3,Mobilenetv2,pixelate,digital,unseen,,0,nan,nan,25.1,23.0,-2.1000000000000014,nan,nan,nan
3,Mobilenetv2,jpeg_compression,digital,seen,8,186,2.1505376344086025,0.5376344086021506,28.000000000000004,23.799999999999997,-4.200000000000006,0.00020904199840197918,-0.0024618710451278962,0.0026709130435298755
