system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
l9,0,ResNet10,u1,rawspec,48,0.00036574759631204627,0.08195288729185816,2.9974071537829166e-05
l9,0,ResNet10,u1,rawspec,49,0.00029505248020463443,0.02634354493898215,7.772728271628929e-06
l9,0,ResNet10,u1,rawspec,50,0.00026614005649888017,0.08963884601281985,2.3856487542346294e-05
l9,0,ResNet10,u1,rawspec,51,0.00025727989532415646,0.03233362605967576,8.318791928083798e-06
l9,0,ResNet10,u1,rawspec,52,0.00022501745246478002,0.2832049981865978,6.372606721724088e-05
l9,0,ResNet10,u1,rawspec,53,0.00019560198345190723,0.39525859357056936,7.731336487881463e-05
l9,0,ResNet10,u1,rawspec,54,0.00017706673837719842,0.12537022976417164,2.2198897673941833e-05
l9,0,ResNet10,u1,rawspec,55,0.00016028820333331098,0.05239504116778051,8.398307012358402e-06
l9,0,ResNet10,u1,rawspec,56,0.0001449078135391106,0.16110589668329828,2.3345503236634602e-05
l9,0,ResNet10,u1,rawspec,57,0.0001283255646683228,0.05564880370246398,7.141164158235343e-06
l9,0,ResNet10,u1,rawspec,58,0.0001244131359431363,0.12928130423494283,1.6084292478687906e-05
l9,0,ResNet10,u1,rawspec,59,0.00010911399848760526,0.0510660729357635,5.572023405080838e-06
l9,0,ResNet10,u1,rawspec,60,9.498470902964473e-05,0.008419660426154408,7.99738995706691e-07
l9,0,ResNet10,u1,rawspec,61,7.757113241158106e-05,0.03168891598424697,2.458145097793489e-06
l9,0,ResNet10,u1,rawspec,62,6.507897988206022e-05,0.07464608207676354,4.85789087374831e-06
l9,0,ResNet10,u1,rawspec,63,6.242232401678829e-05,0.057843428858825215,3.6107212584676298e-06
l9,0,ResNet10,u1,rawspec,64,4.2965220223665746e-05,0.020598372590163984,8.850136145855158e-07
l9,0,ResNet10,u2,frozen,1,16.63145186955068,1.0105842361974833,16.80748308444508
l9,0,ResNet10,u2,frozen,2,2.3738804906758104,0.603573410192636,1.432811143146967
l9,0,ResNet10,u2,frozen,3,1.2503186655004292,3.85099744726599,4.814973989111173
l9,0,ResNet10,u2,frozen,4,0.7447020623795334,1.29256510060439,0.9625758961798982
l9,0,ResNet10,u2,frozen,5,0.5210261305710147,1.4116256741173545,0.7354938628000653
l9,0,ResNet10,u2,frozen,6,0.28820205810116245,0.3258333030804576,0.09390582854568771
l9,0,ResNet10,u2,frozen,7,0.17214965035060398,1.4979538500739693,0.25787223153157485
l9,0,ResNet10,u2,frozen,8,0.12500974034146753,0.06144819015582748,0.007681622295833115
