system,client,architecture,half,arm,class,routing_norm
l9,3,Mobilenetv2,u2,crsf,5,1.3714572324656285
l9,3,Mobilenetv2,u2,crsf,6,1.0047591346063427
l9,3,Mobilenetv2,u2,crsf,7,0.6099764091196482
l9,3,Mobilenetv2,u2,crsf,8,1.0733559799095342
l9,3,Mobilenetv2,u2,crsf,9,1.0892478604589957
l9,3,Mobilenetv2,u2,rawspec,0,1.0399293314144658
l9,3,Mobilenetv2,u2,rawspec,1,0.933456081516457
l9,3,Mobilenetv2,u2,rawspec,2,1.1934775389985328
l9,3,Mobilenetv2,u2,rawspec,3,0.494383607112769
l9,3,Mobilenetv2,u2,rawspec,4,0.5464952850272149
l9,3,Mobilenetv2,u2,rawspec,5,1.3783315450388565
l9,3,Mobilenetv2,u2,rawspec,6,1.0268842637216393
l9,3,Mobilenetv2,u2,rawspec,7,0.6049694792043587
l9,3,Mobilenetv2,u2,rawspec,8,1.0391322607905922
l9,3,Mobilenetv2,u2,rawspec,9,1.1148242640495536
